entity,coupled,degree,average-revs
apps/portlet/pom.xml,plugins/pell-multipart/pom.xml,75,84
apps/blank/pom.xml,plugins/jasperreports/pom.xml,75,83
apps/mailreader/pom.xml,plugins/codebehind/pom.xml,75,81
apps/mailreader/src/main/webapp/Login.jsp,apps/mailreader/src/main/webapp/Subscription.jsp,75,8
plugins/portlet-tiles/pom.xml,plugins/portlet-tiles/src/main/java/org/apache/struts2/views/tiles/PortletTilesResult.java,75,8
plugins/dojo/src/main/resources/template/ajax/autocompleter.ftl,plugins/dojo/src/test/java/org/apache/struts2/dojo/views/jsp/ui/AutocompleterTest.java,75,8
apps/mailreader/src/main/webapp/Login.jsp,apps/mailreader/src/main/webapp/Registration.jsp,75,8
archetypes/struts2-archetype-dbportlet/src/main/resources/archetype-resources/pom.xml,archetypes/struts2-archetype-portlet/src/main/resources/archetype-resources/pom.xml,75,8
apps/showcase/src/main/java/org/apache/struts2/showcase/validation/AjaxFormSubmitAction.java,plugins/json/src/main/java/org/apache/struts2/json/JSONActionRedirectResult.java,75,8
core/src/main/java/org/apache/struts2/dispatcher/multipart/MultiPartRequest.java,core/src/main/java/org/apache/struts2/dispatcher/multipart/MultiPartRequestWrapper.java,75,8
plugins/jfreechart/pom.xml,plugins/pom.xml,74,86
plugins/pom.xml,plugins/sitegraph/pom.xml,74,86
plugins/pom.xml,plugins/struts1/pom.xml,74,85
apps/portlet/pom.xml,plugins/jsf/pom.xml,74,85
plugins/jasperreports/pom.xml,plugins/pom.xml,74,85
plugins/pom.xml,plugins/sitemesh/pom.xml,74,85
apps/portlet/pom.xml,plugins/config-browser/pom.xml,74,85
plugins/codebehind/pom.xml,plugins/tiles/pom.xml,74,81
core/src/main/java/org/apache/struts2/views/util/DefaultUrlHelper.java,core/src/test/java/org/apache/struts2/views/util/DefaultUrlHelperTest.java,74,18
plugins/convention/src/main/java/org/apache/struts2/convention/DefaultResultMapBuilder.java,plugins/convention/src/test/java/org/apache/struts2/convention/DefaultResultMapBuilderTest.java,74,14
apps/blank/pom.xml,apps/pom.xml,73,100
apps/blank/pom.xml,apps/portlet/pom.xml,73,99
apps/portlet/pom.xml,plugins/plexus/pom.xml,73,86
apps/blank/pom.xml,plugins/spring/pom.xml,73,84
apps/mailreader/pom.xml,plugins/spring/pom.xml,73,84
core/src/main/java/org/apache/struts2/views/jsp/ui/AutocompleterTag.java,core/src/test/resources/org/apache/struts2/views/jsp/ui/Autocompleter-2.txt,73,10
plugins/dojo/src/main/resources/template/ajax/head.ftl,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/HeadTagTest-1.txt,73,10
core/src/site/resources/tags/checkboxlist.html,core/src/site/resources/tags/select.html,73,10
apps/portlet/pom.xml,plugins/sitegraph/pom.xml,72,90
apps/portlet/pom.xml,plugins/jfreechart/pom.xml,72,90
apps/portlet/pom.xml,plugins/jasperreports/pom.xml,72,89
apps/portlet/pom.xml,plugins/struts1/pom.xml,72,88
apps/pom.xml,plugins/plexus/pom.xml,72,88
apps/pom.xml,plugins/jsf/pom.xml,72,86
apps/pom.xml,plugins/pell-multipart/pom.xml,72,86
core/src/site/resources/tags/ajax/datetimepicker.html,core/src/site/resources/tags/ajax/div.html,72,13
core/src/site/resources/tags/ajax/a.html,core/src/site/resources/tags/ajax/datetimepicker.html,72,13
core/src/site/resources/tags/ajax/autocompleter.html,core/src/site/resources/tags/ajax/datetimepicker.html,72,13
core/src/site/resources/tags/ajax/datetimepicker.html,core/src/site/resources/tags/ajax/submit.html,72,11
apps/mailreader/pom.xml,apps/portlet/pom.xml,71,98
apps/pom.xml,plugins/struts1/pom.xml,71,90
apps/portlet/pom.xml,plugins/codebehind/pom.xml,71,87
apps/pom.xml,plugins/config-browser/pom.xml,71,87
plugins/spring/pom.xml,plugins/tiles/pom.xml,71,84
core/src/main/java/org/apache/struts2/components/Autocompleter.java,core/src/main/java/org/apache/struts2/views/jsp/ui/AutocompleterTag.java,71,14
backport/translate.bat,backport/translate.sh,71,14
core/src/site/resources/tags/a.html,core/src/site/resources/tags/div.html,71,7
plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/div-1.txt,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,71,7
core/src/test/java/org/apache/struts2/views/jsp/ui/SubmitTest.java,core/src/test/resources/org/apache/struts2/views/jsp/ui/Submit-3.txt,71,7
core/src/site/resources/tags/reset.html,core/src/site/resources/tags/submit.html,71,7
apps/mailreader/src/main/webapp/Subscription.jsp,apps/mailreader/src/main/webapp/Welcome.jsp,71,7
core/src/site/resources/tags/a.html,core/src/site/resources/tags/submit.html,71,7
plugins/dojo/src/main/java/org/apache/struts2/dojo/views/jsp/ui/SubmitTag.java,plugins/dojo/src/test/resources/org/apache/struts2/dojo/views/jsp/ui/submit-ajax-1.txt,71,7
apps/mailreader/src/main/webapp/Registration.jsp,apps/mailreader/src/main/webapp/Welcome.jsp,71,7
